index,persona,argument_consistency,stance_consistency,combined_consistency
1,Rawlsian philosopher,0.8007935881614685,1.0,0.9003967940807343
1,Libertarian economist,0.8522160251935323,1.0,0.9261080125967662
1,Utilitarian ethicist,0.8929109970728556,1.0,0.9464554985364277
1,Conservative political theorist,0.8700140118598938,1.0,0.9350070059299469
2,Rawlsian philosopher,0.9294346372286478,1.0,0.9647173186143239
2,Libertarian economist,0.8622259696324667,1.0,0.9311129848162334
2,Utilitarian ethicist,0.8479494253794352,1.0,0.9239747126897175
2,Conservative political theorist,0.7704205711682638,1.0,0.885210285584132
3,Rawlsian philosopher,0.8606018622716268,1.0,0.9303009311358135
3,Libertarian economist,0.8620946606000265,1.0,0.9310473303000133
3,Utilitarian ethicist,0.8859553337097168,1.0,0.9429776668548584
3,Conservative political theorist,0.8832121888796488,1.0,0.9416060944398243
4,Rawlsian philosopher,0.8681951761245728,1.0,0.9340975880622864
4,Libertarian economist,0.8510077397028605,1.0,0.9255038698514302
4,Utilitarian ethicist,0.8735937674840292,1.0,0.9367968837420146
4,Conservative political theorist,0.8533934354782104,1.0,0.9266967177391052
5,Rawlsian philosopher,0.8643458088239034,1.0,0.9321729044119518
5,Libertarian economist,0.7706155379613241,1.0,0.8853077689806621
5,Utilitarian ethicist,0.8412147959073385,1.0,0.9206073979536693
5,Conservative political theorist,0.7300391793251038,0.6666666666666666,0.6983529229958851
6,Rawlsian philosopher,0.8818626999855042,1.0,0.9409313499927521
6,Libertarian economist,0.7925578951835632,0.6666666666666666,0.7296122809251149
6,Utilitarian ethicist,0.8097301324208578,1.0,0.904865066210429
6,Conservative political theorist,0.6691367626190186,0.6666666666666666,0.6679017146428425
7,Rawlsian philosopher,0.9160081744194031,1.0,0.9580040872097015
7,Libertarian economist,0.8904005885124207,1.0,0.9452002942562103
7,Utilitarian ethicist,0.8415155013402303,1.0,0.9207577506701152
7,Conservative political theorist,0.8466463486353556,1.0,0.9233231743176777
8,Rawlsian philosopher,0.8455606698989868,1.0,0.9227803349494934
8,Libertarian economist,0.7907616098721822,1.0,0.8953808049360912
8,Utilitarian ethicist,0.8498890201250712,1.0,0.9249445100625355
8,Conservative political theorist,0.6821157733599345,1.0,0.8410578866799672
9,Rawlsian philosopher,0.8012369473775228,1.0,0.9006184736887615
9,Libertarian economist,0.7775262395540873,1.0,0.8887631197770436
9,Utilitarian ethicist,0.8416610161463419,1.0,0.9208305080731709
9,Conservative political theorist,0.8001297314961752,1.0,0.9000648657480876
10,Rawlsian philosopher,0.8766016165415446,1.0,0.9383008082707722
10,Libertarian economist,0.8511105378468832,1.0,0.9255552689234416
10,Utilitarian ethicist,0.768988569577535,0.6666666666666666,0.7178276181221008
10,Conservative political theorist,0.8112287918726603,1.0,0.9056143959363301
11,Rawlsian philosopher,0.7974902590115865,1.0,0.8987451295057933
11,Libertarian economist,0.7690179347991943,1.0,0.8845089673995972
11,Utilitarian ethicist,0.8544315099716187,1.0,0.9272157549858093
11,Conservative political theorist,0.8422562479972839,1.0,0.921128123998642
12,Rawlsian philosopher,0.8478335936864217,1.0,0.9239167968432109
12,Libertarian economist,0.861507256825765,1.0,0.9307536284128826
12,Utilitarian ethicist,0.8502863446871439,1.0,0.9251431723435719
12,Conservative political theorist,0.8799015879631042,1.0,0.9399507939815521
13,Rawlsian philosopher,0.8059922655423483,1.0,0.9029961327711742
13,Libertarian economist,0.8359747727711996,0.6666666666666666,0.7513207197189331
13,Utilitarian ethicist,0.844076911608378,0.6666666666666666,0.7553717891375223
13,Conservative political theorist,0.8638184269269308,1.0,0.9319092134634654
14,Rawlsian philosopher,0.8349234660466512,1.0,0.9174617330233257
14,Libertarian economist,0.7885305285453796,1.0,0.8942652642726898
14,Utilitarian ethicist,0.7752709984779358,1.0,0.8876354992389679
14,Conservative political theorist,0.7288991014162699,1.0,0.8644495507081349
15,Rawlsian philosopher,0.8311449686686198,1.0,0.9155724843343098
15,Libertarian economist,0.7929566502571106,1.0,0.8964783251285553
15,Utilitarian ethicist,0.7654685179392496,0.6666666666666666,0.7160675923029581
15,Conservative political theorist,0.7141281565030416,1.0,0.8570640782515209
16,Rawlsian philosopher,0.8161648909250895,1.0,0.9080824454625447
16,Libertarian economist,0.913472056388855,1.0,0.9567360281944275
16,Utilitarian ethicist,0.8885719577471415,1.0,0.9442859788735707
16,Conservative political theorist,0.8412933945655823,0.6666666666666666,0.7539800306161244
17,Rawlsian philosopher,0.8674722711245219,0.6666666666666666,0.7670694688955942
17,Libertarian economist,0.7976270516713461,1.0,0.8988135258356731
17,Utilitarian ethicist,0.8607024351755778,1.0,0.9303512175877888
17,Conservative political theorist,0.8400607705116272,1.0,0.9200303852558136
18,Rawlsian philosopher,0.8347920974095663,1.0,0.9173960487047832
18,Libertarian economist,0.7727402051289877,1.0,0.8863701025644939
18,Utilitarian ethicist,0.8360750079154968,1.0,0.9180375039577484
18,Conservative political theorist,0.855164627234141,1.0,0.9275823136170704
19,Rawlsian philosopher,0.6696651776631674,0.6666666666666666,0.668165922164917
19,Libertarian economist,0.8739880720774332,1.0,0.9369940360387166
19,Utilitarian ethicist,0.9194955627123514,1.0,0.9597477813561757
19,Conservative political theorist,0.8786152005195618,1.0,0.9393076002597809
20,Rawlsian philosopher,0.8043572902679443,1.0,0.9021786451339722
20,Libertarian economist,0.7962816754976908,1.0,0.8981408377488453
20,Utilitarian ethicist,0.8891794085502625,1.0,0.9445897042751312
20,Conservative political theorist,0.8271053234736124,1.0,0.9135526617368062
21,Rawlsian philosopher,0.8440013726552328,1.0,0.9220006863276164
21,Libertarian economist,0.814679741859436,0.6666666666666666,0.7406732042630513
21,Utilitarian ethicist,0.8232539097468058,1.0,0.9116269548734028
21,Conservative political theorist,0.7909823656082153,1.0,0.8954911828041077
22,Rawlsian philosopher,0.7703373034795126,1.0,0.8851686517397563
22,Libertarian economist,0.8297355969746908,1.0,0.9148677984873455
22,Utilitarian ethicist,0.856539785861969,1.0,0.9282698929309845
22,Conservative political theorist,0.9001630345980326,1.0,0.9500815172990162
23,Rawlsian philosopher,0.8338503440221151,0.6666666666666666,0.7502585053443909
23,Libertarian economist,0.8637317220369974,1.0,0.9318658610184987
23,Utilitarian ethicist,0.9100926717122396,1.0,0.9550463358561199
23,Conservative political theorist,0.8616952101389567,1.0,0.9308476050694783
24,Rawlsian philosopher,0.8176185091336569,0.6666666666666666,0.7421425879001617
24,Libertarian economist,0.9115657607714335,1.0,0.9557828803857167
24,Utilitarian ethicist,0.8311004837354025,0.6666666666666666,0.7488835752010345
24,Conservative political theorist,0.8104085922241211,1.0,0.9052042961120605
25,Rawlsian philosopher,0.7443739771842957,1.0,0.8721869885921478
25,Libertarian economist,0.7350228826204935,1.0,0.8675114413102467
25,Utilitarian ethicist,0.7792045871416727,1.0,0.8896022935708363
25,Conservative political theorist,0.7165849208831787,1.0,0.8582924604415894
26,Rawlsian philosopher,0.8292945226033529,1.0,0.9146472613016765
26,Libertarian economist,0.668845534324646,0.6666666666666666,0.6677561004956563
26,Utilitarian ethicist,0.7024324735005697,1.0,0.8512162367502849
26,Conservative political theorist,0.8183397253354391,1.0,0.9091698626677196
27,Rawlsian philosopher,0.7050468722979227,1.0,0.8525234361489613
27,Libertarian economist,0.7055084307988485,0.6666666666666666,0.6860875487327576
27,Utilitarian ethicist,0.5790869295597076,0.6666666666666666,0.6228767981131871
27,Conservative political theorist,0.7299401164054871,1.0,0.8649700582027435
28,Rawlsian philosopher,0.7785178820292155,1.0,0.8892589410146077
28,Libertarian economist,0.7440520723660787,1.0,0.8720260361830394
28,Utilitarian ethicist,0.7993140618006388,1.0,0.8996570309003193
28,Conservative political theorist,0.7278809746106466,1.0,0.8639404873053234
29,Rawlsian philosopher,0.8240278164545695,1.0,0.9120139082272847
29,Libertarian economist,0.8010184566179911,1.0,0.9005092283089955
29,Utilitarian ethicist,0.8165005644162496,1.0,0.9082502822081249
29,Conservative political theorist,0.7408807078997294,1.0,0.8704403539498646
30,Rawlsian philosopher,0.8137820959091187,0.6666666666666666,0.7402243812878926
30,Libertarian economist,0.8001525203386942,1.0,0.900076260169347
30,Utilitarian ethicist,0.8372941613197327,0.6666666666666666,0.7519804139931996
30,Conservative political theorist,0.7321189641952515,1.0,0.8660594820976257
